   2ns clock=0 pc=         0 inst=xxxxxxxx rs1_addr= x rs1_data=         x rs2_addr= x rs2_data=         x
  29ns clock=1 pc=       408 inst=03c52783 rs1_addr=10 rs1_data=         0 rs2_addr=28 rs2_data=         0
  29ns clock=0 pc=       408 inst=03c52783 rs1_addr=10 rs1_data=         0 rs2_addr=28 rs2_data=         0
  30ns clock=1 pc=       412 inst=00078463 rs1_addr=15 rs1_data=         0 rs2_addr= 0 rs2_data=         0
  30ns clock=0 pc=       412 inst=00078463 rs1_addr=15 rs1_data=         0 rs2_addr= 0 rs2_data=         0
  31ns clock=1 pc=         0 inst=000780e7 rs1_addr=15 rs1_data=         X rs2_addr= 0 rs2_data=         X
  31ns clock=0 pc=         0 inst=000780e7 rs1_addr=15 rs1_data=         X rs2_addr= 0 rs2_data=         X
  32ns clock=1 pc=         X inst=00002197 rs1_addr= 0 rs1_data=         X rs2_addr= 0 rs2_data=         0
  32ns clock=0 pc=         X inst=00002197 rs1_addr= 0 rs1_data=         X rs2_addr= 0 rs2_data=         0
  33ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         X rs2_addr= x rs2_data=      8192
  33ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         X rs2_addr= x rs2_data=      8192
  34ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  34ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  35ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  35ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  36ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  36ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  37ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  37ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  38ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  38ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  39ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  39ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  40ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  40ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  41ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  41ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  42ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  42ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  43ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  43ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  44ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  44ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  45ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  45ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  46ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  46ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  47ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  47ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  48ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  48ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  49ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  49ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  50ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  50ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  51ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  51ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  52ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  52ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  53ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  53ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  54ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  54ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  55ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  55ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  56ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  56ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  57ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  57ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  58ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  58ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  59ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  59ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  60ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
